id, caller, calle, date, duration, cost, currency
1, 0976634445, 0543334534, 25-03-2023, 00:12, 30, INR
2, 0976634445, 0765432552, 26-03-2023, 00:15, 40, INR
3, 0976634445, 0654353633, 26-03-2023, 00:40, 80, INR
4, 0976634445, 0653325452, 25-03-2023, 00:56, 100, INR
5, 0976634445, 0943434343, 28-03-2023, 00:33, 20, INR
6, 0976634445, 0756773688, 22-03-2023, 00:10, 15, INR
7, 0976634445, 9876666533, 01-03-2023, 00:10, 15, INR
8, 0975543565, 0543346777, 02-03-2023, 00:13, 16, INR
9, 0975543565, 0566443234, 03-03-2023, 00:07, 02, INR
10, 0975543565, 0987665553, 04-03-2023, 00:06, 05, INR
11, 0975543565, 0897753633, 05-02-2023, 00:09, 07, INR
12, 0975543565, 0997367633, 06-03-2023, 00:10, 05, INR
13, 0975543565, 0875656567, 05-03-2023, 00:29, 20, INR
14, 0975543565, 0765543873, 07-03-2023, 00:40, 50, INR
15, 0975543565, 0532837276, 09-03-2023, 00:65, 12, INR
16, 0766334345, 0544321312, 08-03-2023, 00:23, 20, INR
17, 0766334345, 0587323232, 08-03-2023, 00:29, 25, INR
18, 0766334345, 0465362763, 13-03-2023, 00:12, 10, INR
19, 0766334345, 0566523234, 03-03-2023, 00:22, 09, INR
20, 0766334345, 0954765553, 21-03-2023, 00:06, 05, INR
21, 0766334345, 0897288633, 09-02-2023, 00:09, 07, INR
22, 0766334345, 0997117633, 30-03-2023, 00:10, 05, INR
23, 0873343523, 0653985452, 01-02-2023, 00:56, 100, INR
24, 0873343523, 0943983343, 28-04-2023, 00:33, 20, INR
25, 0873343523, 0756763688, 22-03-2023, 00:10, 15, INR
26, 0873343523, 9876623533, 01-02-2023, 00:10, 15, INR
27, 0873343523, 0543365577, 02-02-2023, 00:13, 16, INR
28, 0873343523, 0566456234, 03-04-2023, 00:07, 02, INR
29, 0854333432, 0544321312, 14-03-2023, 00:23, 20, INR
30, 0854333432, 0587332232, 22-03-2023, 00:29, 25, INR
31, 0854333432, 0465397763, 17-03-2023, 00:12, 10, INR
32, 0854333432, 0566543234, 04-03-2023, 00:22, 09, INR
33, 0854333432, 0954754553, 23-03-2023, 00:06, 05, INR
34, 0854333432, 0897211633, 02-02-2023, 00:09, 07, INR
35, 0854333432, 0997112633, 18-03-2023, 00:10, 05, INR
